"","Champ","Team","GoldEarned","Kills","Deaths","Assists","Win","totalDamageDealtToChampions","damageDealtToTurrets","visionScore","totalDamageTaken","turretKills","inhibitorKills","totalMinionsKilled","champLevel","wardsPlaced","firstBloodKill","firstBloodAssist","WRgeneral","WRchamp","Duration_secs","Position","Role"
"40","Nautilus",100,7001,1,8,16,"False",9712,584,55,23699,0,0,28,12,25,"False","False",0.4,0,1723,"BOTTOM","DUO_SUPPORT"
"41","Irelia",100,8441,4,3,10,"True",9969,0,25,20646,0,0,7,13,8,"False","False",0.4333,0.25,1305,"JUNGLE","NONE"
"42","Zilean",200,8093,2,4,12,"True",9442,2595,50,13783,1,0,48,13,29,"False","False",0.4667,0.4,1688,"BOTTOM","DUO_SUPPORT"
"43","Aatrox",100,8003,3,5,5,"False",14590,367,22,21908,0,0,137,13,13,"False","False",0.5333,0.5,1391,"JUNGLE","NONE"
"44","Camille",200,12609,8,4,5,"False",16917,9091,14,23179,3,1,157,14,10,"False","False",0.6,0.6,1589,"TOP","SOLO"
"45","MissFortune",100,14758,22,3,6,"True",29432,12883,25,10494,5,0,166,13,7,"False","False",0.6,0.6087,1366,"BOTTOM","DUO_CARRY"
"46","Sona",200,9121,4,9,8,"False",14775,4666,69,23462,1,1,26,14,33,"False","False",0.6,0.6,2002,"BOTTOM","DUO_SUPPORT"
"47","Syndra",100,6801,1,7,2,"False",12232,0,13,11346,0,0,172,12,7,"False","False",0.6333,0.5,1229,"MIDDLE","SOLO"
"48","Nidalee",100,8251,1,3,2,"False",10861,1515,28,22178,1,0,31,12,9,"False","False",0.5,0.4545,1489,"JUNGLE","NONE"
"49","MissFortune",100,10993,4,6,9,"True",10321,2581,32,17203,1,0,192,15,10,"True","False",0.6,0.5,1595,"BOTTOM","DUO_CARRY"
"50","MonkeyKing",100,15978,9,6,9,"True",28868,5717,34,38096,3,1,210,18,7,"False","False",0.3667,1,1847,"TOP","SOLO"
"51","Lucian",100,10171,3,7,3,"True",15128,2102,17,19588,1,0,212,15,10,"False","False",0.5,0.6667,1632,"TOP","SOLO"
"52","Ekko",200,10906,3,5,4,"False",14093,7608,19,27904,4,0,213,15,8,"False","False",0.5,0,1651,"MIDDLE","SOLO"
"53","Graves",100,15108,8,7,9,"True",19719,3250,38,36840,3,2,75,17,8,"False","False",0.5,0.5,2060,"JUNGLE","NONE"
"54","Gnar",200,13384,4,6,9,"False",20611,3967,44,35407,1,0,213,17,18,"False","False",0.5,0.3333,2060,"TOP","SOLO"
"55","Cassiopeia",100,17020,10,6,8,"False",27261,5133,31,37038,4,0,258,17,13,"False","False",0.4667,0,2220,"BOTTOM","DUO_CARRY"
"56","Karthus",200,5743,2,5,1,"False",7593,0,10,13086,2,0,9,10,3,"False","False",0.3667,0.3529,971,"NONE","DUO_SUPPORT"
"57","Thresh",200,5076,1,2,4,"True",1937,2892,18,5330,0,0,24,9,9,"False","False",0.4667,0.25,1012,"NONE","DUO_SUPPORT"
"58","Rengar",100,6098,0,5,2,"False",4469,446,10,19114,0,0,11,10,1,"False","False",0.7,0,1219,"JUNGLE","NONE"
"59","Ezreal",100,9476,6,3,5,"True",16831,6639,26,8652,0,0,143,12,8,"False","False",0.6333,0.5,1343,"BOTTOM","DUO_CARRY"
"60","Gragas",200,8270,7,6,4,"False",12627,0,19,19715,0,0,18,11,5,"False","False",0.5,0.4286,1463,"JUNGLE","NONE"
"61","Jhin",100,13462,7,6,9,"False",26112,1554,23,24137,0,0,254,16,6,"True","False",0.5333,0.6667,1997,"BOTTOM","DUO_CARRY"
"62","Rengar",100,12552,6,5,14,"True",18741,6927,31,31240,3,0,45,15,2,"False","False",0.5333,0.5417,1724,"JUNGLE","NONE"
"63","Nidalee",200,14748,11,10,11,"False",26259,1171,24,41020,0,0,49,17,2,"False","False",0.5667,0.5833,2167,"JUNGLE","NONE"
"64","Ezreal",100,5433,3,2,0,"False",8334,665,6,7701,0,0,110,8,4,"False","False",0.5,0.7143,919,"NONE","DUO_SUPPORT"
"65","Jax",100,9381,0,3,4,"False",7427,999,31,16245,1,0,204,14,10,"False","False",0.4333,0.4118,1511,"JUNGLE","NONE"
"66","Rumble",200,8433,4,4,3,"False",12076,0,15,13621,0,0,143,13,6,"True","False",0.5,0.5,1313,"MIDDLE","SOLO"
"67","Vayne",200,12220,7,3,2,"True",17066,10773,18,13065,5,1,197,16,9,"False","False",0.6,0.625,1502,"TOP","SOLO"
"68","Tristana",200,9644,2,3,5,"False",10988,3821,22,9414,2,0,173,13,9,"False","False",0.5,0.4444,1293,"MIDDLE","SOLO"
"69","Vladimir",100,6288,3,3,1,"True",8789,1919,5,11782,1,0,102,11,4,"False","False",0.3333,1,946,"NONE","DUO_SUPPORT"
"70","Aphelios",200,14834,3,1,7,"True",13225,7440,30,9830,3,0,254,16,11,"False","False",0.5667,0.6,1844,"BOTTOM","DUO_CARRY"
"71","Orianna",200,14687,8,3,15,"True",19918,7960,18,16915,1,0,227,17,12,"False","False",0.5,0.3333,1723,"MIDDLE","SOLO"
"72","Ashe",100,7786,2,7,3,"False",4652,3816,18,12957,0,0,181,11,8,"False","False",0.6,0,1281,"BOTTOM","DUO_CARRY"
"73","RekSai",200,12214,9,3,12,"True",16428,3143,24,27758,2,1,29,14,5,"False","False",0.6333,0.4286,1570,"JUNGLE","NONE"
"74","Udyr",200,9292,3,5,5,"True",5497,1551,22,20319,1,2,18,13,4,"False","False",0.6333,0.6111,1513,"JUNGLE","NONE"
"75","Thresh",100,8111,3,6,10,"False",5814,344,56,20208,0,0,35,14,28,"False","False",0.4667,0.5,1868,"BOTTOM","SOLO"
"76","Syndra",100,12821,9,4,9,"False",27672,475,26,16598,1,0,212,16,12,"True","False",0.5,0.6667,1746,"MIDDLE","DUO_CARRY"
"77","MissFortune",100,18691,8,9,14,"False",30962,6658,46,29175,1,1,287,18,14,"False","False",0.6,0.3333,2226,"BOTTOM","DUO_CARRY"
"78","MonkeyKing",200,10740,9,4,7,"True",15669,0,25,20019,2,1,23,14,6,"False","False",0.5333,0.6,1320,"JUNGLE","NONE"
"79","Ezreal",100,12117,7,6,7,"True",22366,6422,59,17971,3,0,179,15,10,"False","False",0.5667,0.4,1734,"BOTTOM","SOLO"
"80","Brand",200,4294,3,10,1,"False",8318,0,23,12876,0,0,9,7,13,"False","False",0.4667,0,921,"NONE","DUO_SUPPORT"
"81","TwistedFate",200,13877,13,4,3,"True",14434,4517,25,13139,2,0,195,15,8,"False","False",0.5667,0.5,1539,"MIDDLE","SOLO"
"83","Renekton",200,9829,5,5,0,"False",9706,0,14,22254,0,0,192,14,10,"False","False",0.4333,0.25,1487,"MIDDLE","SOLO"
"84","Azir",100,8226,4,7,2,"False",15382,1550,17,15581,0,0,141,12,9,"False","False",0.5,0.4,1254,"MIDDLE","DUO"
"85","Ezreal",200,13787,9,9,7,"False",25952,5178,47,22533,3,0,200,15,13,"False","False",0.6,0.6154,1903,"BOTTOM","DUO_CARRY"
"86","Kled",100,5954,4,3,3,"True",6686,1410,7,12167,0,0,94,11,5,"False","False",0.5,1,993,"NONE","DUO_SUPPORT"
"87","Rengar",100,8597,3,5,2,"False",8774,230,24,21129,1,0,11,11,3,"False","False",0.5333,0.5769,1501,"JUNGLE","NONE"
"88","Cassiopeia",200,11919,9,1,3,"True",16449,1527,24,16725,1,0,198,15,9,"False","False",0.6,0.5,1247,"MIDDLE","SOLO"
"89","Thresh",100,8026,1,6,18,"True",6014,0,65,15060,0,0,34,14,40,"True","False",0.3333,0.5,1947,"MIDDLE","DUO_SUPPORT"
"90","Quinn",200,9269,4,6,6,"False",17210,3334,42,17147,1,0,164,14,17,"False","False",0.5333,0.5,1517,"MIDDLE","SOLO"
"91","XinZhao",100,8331,3,8,8,"False",10650,0,14,24594,0,0,5,11,1,"False","False",0.5333,0,1366,"JUNGLE","NONE"
"92","Soraka",100,6351,2,6,8,"False",3754,263,51,13055,0,0,43,12,18,"False","False",0.5,0.5,1594,"BOTTOM","DUO_SUPPORT"
"93","Sett",200,8402,4,3,12,"True",11195,1377,26,26206,1,0,6,13,7,"True","False",0.4667,0.25,1436,"JUNGLE","NONE"
"94","Ekko",200,14525,8,3,10,"True",25456,9762,28,37563,5,1,207,16,9,"False","False",0.5,1,1855,"MIDDLE","SOLO"
"95","RekSai",100,10274,4,3,2,"False",7516,800,24,22599,0,0,29,13,7,"True","False",0.6207,0,1688,"JUNGLE","NONE"
"96","Kaisa",200,8710,3,3,3,"False",9464,905,17,10873,0,0,190,12,9,"False","False",0.5667,0.7,1409,"BOTTOM","DUO_CARRY"
"97","Vayne",100,7022,1,8,0,"False",5800,987,21,12550,0,0,142,12,11,"False","False",0.4667,0,1404,"MIDDLE","SOLO"
"98","Bard",200,9606,5,6,16,"False",16588,1407,104,21870,1,0,37,14,57,"False","False",0.4333,0.4615,1873,"BOTTOM","DUO_SUPPORT"
"99","Jax",100,7227,0,5,1,"False",3847,769,23,14692,0,0,155,13,9,"False","False",0.5333,0.55,1548,"TOP","SOLO"
"100","Thresh",100,5478,1,1,9,"True",4611,0,39,5000,0,0,31,10,18,"False","False",0.5,0.6,1191,"NONE","DUO_SUPPORT"
"101","Kaisa",200,8419,3,7,3,"False",10305,371,18,13952,0,0,166,11,9,"False","False",0.4667,0.3333,1370,"BOTTOM","DUO_CARRY"
"102","Leblanc",100,10189,6,4,4,"False",17727,1103,17,21877,0,0,168,14,4,"False","False",0.5667,0.3333,1728,"MIDDLE","SOLO"
"103","Jayce",200,8153,2,2,1,"True",10499,3857,16,7194,1,0,161,12,7,"False","False",0.5,0.6923,1122,"NONE","DUO_SUPPORT"
"104","Fiora",100,9280,2,3,3,"False",12394,5572,15,21529,2,0,204,14,10,"False","False",0.6,0.4,1547,"TOP","SOLO"
"105","Poppy",200,9322,4,9,5,"False",14679,3786,15,20600,1,0,148,13,9,"False","False",0.4333,0.4,1461,"TOP","SOLO"
"106","Syndra",200,7883,3,3,2,"False",10048,102,10,9377,0,0,144,12,7,"False","False",0.5,0.5,1239,"MIDDLE","SOLO"
"107","Mordekaiser",100,9433,4,13,7,"False",11208,577,19,36456,0,0,97,16,14,"False","False",0.4,0,2289,"TOP","SOLO"
"108","Janna",200,9318,4,2,17,"True",15924,5620,64,9248,1,0,14,13,23,"False","False",0.6,0,1610,"BOTTOM","DUO_SUPPORT"
"109","Kassadin",100,13262,13,3,3,"True",20180,4157,16,23485,2,0,149,15,10,"False","False",0.5667,0.6667,1770,"MIDDLE","SOLO"
"110","Janna",100,5162,0,2,9,"True",4740,1860,19,6845,0,0,6,10,6,"False","False",0.6,1,1310,"BOTTOM","DUO_SUPPORT"
"111","TwistedFate",100,9749,4,8,7,"False",13639,1958,23,18932,0,0,136,12,9,"False","False",0.4333,0.4615,1616,"BOTTOM","DUO_CARRY"
"112","Tryndamere",200,18137,22,2,9,"True",38409,8957,23,34514,3,1,167,17,10,"True","False",0.4667,0.375,1891,"TOP","SOLO"
"113","Zoe",200,8183,8,0,6,"True",11283,2897,18,4758,1,0,85,11,9,"True","False",0.6667,0.8,1114,"NONE","DUO_SUPPORT"
"114","Nautilus",200,6992,2,13,9,"False",13316,124,14,22638,0,0,29,11,8,"False","False",0.6,0.5833,1706,"BOTTOM","DUO_SUPPORT"
"115","Leona",200,10073,3,7,11,"False",7004,2205,90,38508,2,0,35,15,44,"True","False",0.3333,0,2295,"BOTTOM","DUO_SUPPORT"
"116","Leblanc",200,7318,2,4,2,"False",7561,812,14,12189,0,0,136,12,7,"False","False",0.4,0.4615,1339,"MIDDLE","SOLO"
"117","Camille",200,10970,8,7,7,"True",17643,3595,11,28189,2,1,145,15,6,"True","False",0.7,0.8333,1459,"TOP","DUO"
"118","Kayn",100,6215,1,1,7,"True",4526,1383,12,13299,3,1,10,10,5,"False","False",0.5333,0.4444,1102,"NONE","DUO_SUPPORT"
"119","Nami",100,7745,5,7,7,"False",6219,540,34,12564,0,0,5,11,18,"False","False",0.5333,0,1725,"BOTTOM","DUO_SUPPORT"
"120","Shaco",100,7687,6,6,8,"False",15123,943,45,22268,0,0,28,12,17,"False","False",0.5,0.5455,1652,"BOTTOM","DUO_SUPPORT"
"121","Qiyana",200,13558,12,7,10,"False",33221,1819,32,23378,2,0,110,15,8,"False","False",0.4667,0.5,2023,"MIDDLE","SOLO"
"122","Heimerdinger",200,8965,2,11,6,"False",15868,0,23,19645,0,0,162,14,10,"False","False",0.4,0.25,1811,"MIDDLE","SOLO"
"123","Garen",100,12742,4,7,3,"True",18061,6718,16,31593,3,0,197,18,9,"False","False",0.4667,0.5455,1913,"TOP","SOLO"
"124","RekSai",100,10780,2,7,8,"False",12433,1405,31,40662,0,0,23,14,6,"False","False",0.5,0.25,2102,"JUNGLE","NONE"
"125","Graves",200,6946,3,4,3,"False",9365,609,12,13901,0,0,35,11,4,"False","False",0.5,0.3333,1145,"NONE","DUO_SUPPORT"
"126","Syndra",100,11242,3,1,19,"True",23428,3025,30,12190,1,1,173,15,11,"False","False",0.5,0.5,1789,"MIDDLE","SOLO"
"127","Maokai",100,8260,3,3,6,"True",7877,1188,9,24790,2,1,16,12,0,"False","False",0.5333,0.5455,1447,"JUNGLE","NONE"
"128","Graves",200,13000,7,9,5,"False",13569,2012,26,26360,1,0,78,14,12,"False","False",0.4333,0,1904,"JUNGLE","NONE"
"129","Fizz",200,9606,6,7,5,"False",13840,738,18,14145,0,0,146,13,9,"False","False",0.5667,1,1507,"MIDDLE","SOLO"
"130","Sett",200,4648,1,7,5,"False",6888,854,20,15413,0,0,24,9,13,"False","False",0.5,0.5625,1145,"NONE","DUO_SUPPORT"
"131","Pantheon",100,11049,13,1,5,"True",18140,1176,9,16582,0,0,109,13,4,"False","False",0.5333,1,1271,"MIDDLE","DUO_CARRY"
"132","LeeSin",200,7555,3,7,5,"False",7879,0,13,18129,0,0,21,11,10,"False","False",0.4667,0.25,1271,"JUNGLE","NONE"
"133","Thresh",100,6848,1,8,13,"False",8178,328,52,20135,0,0,31,12,35,"False","False",0.6,0.6667,1698,"BOTTOM","DUO_SUPPORT"
"134","LeeSin",100,13710,14,4,10,"True",19303,1777,31,30469,1,0,10,15,18,"False","False",0.6333,1,1786,"JUNGLE","NONE"
"135","Sylas",200,14690,14,8,12,"False",28601,158,30,39773,0,0,31,14,9,"False","False",0.5667,0,1810,"JUNGLE","NONE"
"136","Jayce",100,12225,5,11,4,"False",21248,4967,28,35444,2,1,209,16,11,"False","False",0.3,0,1971,"TOP","DUO"
"137","Zed",100,9673,4,3,3,"False",13178,725,17,12585,1,0,172,13,10,"False","False",0.4333,0.5,1401,"MIDDLE","SOLO"
"138","Syndra",100,10415,3,5,2,"False",14686,727,26,12340,0,0,226,14,11,"False","False",0.3667,0,1657,"BOTTOM","SOLO"
"139","Pyke",100,13568,8,14,10,"False",13225,428,109,32455,0,0,47,15,61,"False","False",0.5333,0,2221,"BOTTOM","DUO_SUPPORT"
"140","Ezreal",200,11714,6,2,6,"True",15151,3325,18,15731,1,0,191,14,4,"False","False",0.6,0.6,1427,"BOTTOM","DUO_CARRY"
"141","Ekko",100,7492,4,3,6,"True",5511,3167,19,21475,2,0,12,12,3,"False","False",0.4,0.3333,1254,"JUNGLE","NONE"
"142","Nidalee",100,9808,11,0,9,"True",14443,5403,22,16263,1,1,14,12,4,"False","False",0.5333,0.4706,1177,"NONE","DUO_SUPPORT"
"143","Yuumi",100,4971,1,4,5,"False",4943,0,32,4992,0,0,11,9,13,"False","False",0.5667,0,1331,"TOP","DUO_SUPPORT"
"144","Bard",200,9723,3,9,11,"False",12707,2037,82,26096,0,0,45,15,26,"False","False",0.3667,0,2066,"BOTTOM","DUO_SUPPORT"
"145","Kalista",200,14231,9,6,4,"False",25857,908,30,26159,0,0,216,15,12,"False","False",0.3667,0.4286,1854,"BOTTOM","DUO_CARRY"
"146","Janna",200,5927,0,3,4,"False",2270,196,53,5242,0,0,8,13,27,"False","False",0.4333,0.4333,1945,"BOTTOM","DUO_SUPPORT"
"147","Ezreal",200,10675,8,5,5,"False",23797,4654,12,16087,2,0,166,13,8,"True","False",0.5667,0.4,1406,"BOTTOM","DUO_CARRY"
"148","Nidalee",100,13790,6,6,9,"True",20244,1900,32,35200,1,1,33,17,9,"False","False",0.4333,0.5455,2052,"JUNGLE","NONE"
"149","Leblanc",100,13310,6,7,12,"True",29077,2974,16,30911,1,1,193,17,7,"False","False",0.3667,1,2249,"MIDDLE","SOLO"
"150","Zac",100,13612,3,6,14,"False",19721,939,46,47978,0,0,100,18,21,"False","False",0.6333,0.6552,2175,"JUNGLE","NONE"
"151","Ezreal",200,11619,3,4,5,"True",15766,7957,15,13239,5,1,193,15,10,"False","False",0.7,0.8333,1818,"BOTTOM","DUO_CARRY"
"152","Fiora",100,10571,5,5,5,"True",9997,2629,35,28120,1,0,146,14,14,"False","False",0.7,0.7407,1736,"TOP","SOLO"
"153","Ornn",200,9111,2,5,16,"True",16428,2923,13,15070,1,0,149,15,10,"False","False",0.7,1,1746,"TOP","SOLO"
"154","Riven",100,15144,10,2,5,"True",14412,4467,24,19531,0,0,241,16,5,"True","False",0.4,0.3333,1602,"TOP","SOLO"
"155","Katarina",100,7934,5,0,8,"True",10024,1632,12,8048,1,0,120,12,6,"False","False",0.6,0.6875,940,"NONE","DUO_SUPPORT"
"156","Quinn",200,15864,15,2,5,"True",26748,12992,47,21763,5,1,211,15,21,"True","False",0.5333,0.5,1567,"MIDDLE","SOLO"
"157","Sett",100,8099,4,5,19,"True",8367,471,67,16042,0,0,31,12,35,"False","False",0.5667,0.75,1649,"MIDDLE","DUO_SUPPORT"
"158","Janna",100,4213,0,7,5,"False",2769,141,26,9174,0,0,26,9,10,"False","False",0.5,0.5,1153,"NONE","DUO_SUPPORT"
"159","Cassiopeia",200,15088,8,15,12,"False",58521,2457,25,55170,0,0,190,17,15,"False","False",0.4333,1,2344,"MIDDLE","SOLO"
"160","Vayne",200,5868,2,7,3,"False",5009,0,15,8873,0,0,97,10,5,"False","False",0.4667,0.2,1076,"NONE","DUO_SUPPORT"
"161","Aphelios",100,9239,6,6,4,"False",15908,1011,21,12124,0,0,147,11,6,"False","False",0.6,0.6522,1332,"BOTTOM","DUO_CARRY"
"162","Maokai",200,7990,0,5,4,"False",17021,977,18,27340,1,0,167,13,9,"False","False",0.5333,0,1533,"TOP","SOLO"
"163","LeeSin",200,8711,4,2,9,"True",12016,0,28,25742,0,0,18,13,18,"False","False",0.4333,0.8,1594,"JUNGLE","NONE"
"164","Yuumi",100,5285,1,1,13,"True",3013,49,17,1694,0,0,3,10,10,"False","False",0.5333,0.4737,1189,"NONE","DUO_SUPPORT"
"165","Varus",200,12285,3,7,7,"False",28727,747,30,18982,1,0,236,14,11,"True","False",0.6,0.5,1901,"BOTTOM","DUO_CARRY"
"166","LeeSin",100,9510,8,5,4,"False",11097,0,27,21865,0,0,13,13,18,"False","False",0.5667,0.5333,1402,"JUNGLE","NONE"
"167","Shen",200,9412,3,6,9,"False",15206,214,10,23104,0,0,135,14,6,"False","False",0.4333,0.4286,1789,"TOP","SOLO"
"168","Anivia",100,12988,3,7,7,"True",21495,2574,16,34136,0,0,212,18,11,"False","False",0.4667,0.4286,2259,"MIDDLE","SOLO"
"169","Caitlyn",200,13458,11,2,3,"False",24164,7523,27,9630,3,0,185,14,11,"True","False",0.5667,0.5,1921,"BOTTOM","DUO_CARRY"
"170","Talon",200,13350,8,7,7,"False",20761,4688,17,32030,1,0,199,16,6,"True","False",0.5,0.4615,1847,"MIDDLE","SOLO"
"171","Sett",100,7080,0,5,1,"False",7653,4627,12,16328,1,0,168,13,9,"False","False",0.6,0.3333,1375,"TOP","SOLO"
"172","Karma",100,7288,2,5,2,"False",6429,1838,18,11490,1,0,166,12,10,"False","False",0.4333,1,1247,"TOP","DUO"
"173","Graves",100,12774,13,5,5,"True",17174,1920,29,18087,2,1,31,14,11,"True","False",0.4667,0.5,1501,"JUNGLE","NONE"
"174","Janna",200,3821,0,4,5,"False",4396,0,16,8028,0,0,13,7,11,"False","False",0.4333,0,1033,"NONE","DUO_SUPPORT"
"175","Soraka",100,9016,3,12,13,"True",12371,911,11,21975,1,0,117,14,8,"False","False",0.5,0.3333,1857,"TOP","SOLO"
"176","Renekton",100,12240,3,5,6,"False",14017,3753,27,24885,1,0,198,15,10,"False","False",0.5667,0,1993,"TOP","SOLO"
"177","Senna",100,5662,1,7,6,"False",6125,103,27,12768,0,0,12,11,16,"False","False",0.5333,0,1515,"BOTTOM","DUO_SUPPORT"
"178","Nautilus",200,7989,4,1,11,"True",9730,1695,64,21917,1,0,47,12,25,"False","False",0.6,1,1636,"BOTTOM","DUO_SUPPORT"
"179","Syndra",200,11393,5,4,7,"False",24866,5441,20,16881,1,0,204,15,10,"False","False",0.4667,0.4286,1667,"MIDDLE","SOLO"
"180","Sett",200,6512,0,7,10,"False",7308,744,27,21194,0,1,64,11,11,"False","False",0.5333,0.3333,1636,"BOTTOM","DUO_CARRY"
"181","Viktor",200,4796,1,4,0,"False",3068,0,9,6207,0,0,116,10,5,"False","False",0.4667,0,943,"NONE","DUO_SUPPORT"
"182","Orianna",200,12901,6,7,5,"False",16862,2100,21,16153,1,0,240,16,11,"False","False",0.5667,0,1871,"MIDDLE","SOLO"
"183","Yasuo",100,10631,3,10,5,"False",14309,1231,25,25251,1,0,196,15,11,"False","False",0.5333,0.3333,1751,"MIDDLE","SOLO"
"184","AurelionSol",100,13181,7,5,8,"False",28259,1335,25,30272,1,0,202,16,13,"False","False",0.4333,0.3913,1984,"MIDDLE","SOLO"
"185","Sett",100,6666,7,7,1,"False",13339,1499,6,13483,0,0,55,10,4,"False","False",0.6333,0.75,1224,"TOP","SOLO"
